date,day,platform,post_type,caption,hashtags
2025-12-02,Tuesday,Instagram,skill_share,Today I simplified: Cloud Basics — here's the TL;DR 👇,#reactjs #cloud #learning
2025-12-03,Wednesday,Instagram,project_showcase,Work in progress: Smart Media Studio — made this UI using React + Tailwind.,#cloud #developer #womenintech
2025-12-04,Thursday,Instagram,carousel,Swipe ➡️ to learn 5 quick points about Image Processing.,#womenintech #reactjs #learning
2025-12-05,Friday,Instagram,fun,Me at 2 AM fixing one bug... again.,#cloud #reactjs #learning
2025-12-06,Saturday,Instagram,growth_update,1% better every week — learned model evaluation this week.,#developer #reactjs #cloud
2025-12-07,Sunday,Instagram,lifestyle,"Sunday routine: coffee, notes, and reflection.",#cloud #womenintech #developer
2025-12-08,Monday,Instagram,motivation,"New week, new energy. Let’s build something amazing 💪✨",#cloud #learning #reactjs
2025-12-09,Tuesday,Instagram,skill_share,Today I simplified: Aptitude Tricks — here's the TL;DR 👇,#learning #developer #cloud
2025-12-10,Wednesday,Instagram,project_showcase,Feature highlight: Image Deblurring from Pneumonia X-ray Classifier.,#cloud #reactjs #womenintech
2025-12-11,Thursday,Instagram,carousel,Swipe ➡️ to learn 5 quick points about Aptitude Tricks.,#reactjs #womenintech #cloud
2025-12-12,Friday,Instagram,fun,Me at 2 AM fixing one bug... again.,#womenintech #learning #reactjs
2025-12-13,Saturday,Instagram,growth_update,Earned: Coursera: React Basics — feeling motivated to keep going!,#reactjs #womenintech #cloud
2025-12-14,Sunday,Instagram,lifestyle,"Sunday routine: coffee, notes, and reflection.",#reactjs #womenintech #cloud
2025-12-15,Monday,Instagram,motivation,Your only competitor is your yesterday.,#reactjs #womenintech #learning
2025-12-16,Tuesday,Instagram,skill_share,Quick tip on Cloud Basics that saved me time: component composition,#developer #reactjs #learning
2025-12-17,Wednesday,Instagram,project_showcase,Feature highlight: Grayscale Conversion from Smart Media Studio.,#womenintech #developer #reactjs
2025-12-18,Thursday,Instagram,carousel,Swipe ➡️ to learn 5 quick points about Image Processing.,#developer #womenintech #learning
2025-12-19,Friday,Instagram,fun,Coder life: expectations vs reality 😂,#womenintech #cloud #developer
2025-12-20,Saturday,Instagram,growth_update,Earned: Udemy: Cloud Fundamentals — feeling motivated to keep going!,#cloud #womenintech #reactjs
2025-12-21,Sunday,Instagram,lifestyle,"Sunday routine: coffee, notes, and reflection.",#reactjs #learning #developer
2025-12-22,Monday,Instagram,motivation,Your only competitor is your yesterday.,#cloud #womenintech #learning
2025-12-23,Tuesday,Instagram,skill_share,Breaking down Aptitude Tricks into bite-sized steps.,#reactjs #learning #cloud
2025-12-24,Wednesday,Instagram,project_showcase,Work in progress: Smart Media Studio — made this UI using React + Tailwind.,#reactjs #womenintech #developer
2025-12-25,Thursday,Instagram,carousel,Short thread: React Hooks — save this for later 📌,#reactjs #learning #developer
2025-12-26,Friday,Instagram,fun,Me at 2 AM fixing one bug... again.,#womenintech #cloud #developer
2025-12-27,Saturday,Instagram,growth_update,1% better every week — learned React state management this week.,#cloud #reactjs #womenintech
2025-12-28,Sunday,Instagram,lifestyle,"Sunday routine: coffee, notes, and reflection.",#cloud #womenintech #learning
2025-12-29,Monday,Instagram,motivation,Small steps. Big results. Keep going 🌱,#learning #reactjs #womenintech
2025-12-30,Tuesday,Instagram,skill_share,Quick tip on Pneumonia Detection that saved me time: useEffect for side-effects,#developer #learning #reactjs
2025-12-31,Wednesday,Instagram,project_showcase,Work in progress: Smart Media Studio — made this UI using React + Tailwind.,#cloud #learning #developer
